task_category,assigned_to,creation_day,creation_month_num,is_weekend_creation,title_word_count,team_total_load_at_creation,developer_workload_at_creation,dev_historical_delay_rate,dev_avg_past_duration,is_delayed
tech,Developer_A,Friday,10,0,2,0,0,0.41090244879469073,40.216871344188284,0
tech,Developer_B,Friday,10,0,4,1,0,0.41090244879469073,40.216871344188284,0
tech,Developer_A,Friday,10,0,3,2,1,0.0,33.29606481481481,0
tech,Developer_A,Friday,10,0,4,3,2,0.0,23.319577546296294,0
product,Developer_C,Friday,10,0,6,4,0,0.41090244879469073,40.216871344188284,0
design,Developer_D,Friday,10,0,3,5,0,0.41090244879469073,40.216871344188284,1
tech,Developer_A,Wednesday,10,0,5,6,3,0.0,26.642962962962958,1
tech,Developer_A,Wednesday,10,0,5,7,4,0.25,38.03401041666666,1
tech,Developer_A,Wednesday,10,0,5,8,5,0.4,51.487699074074065,1
tech,Developer_E,Wednesday,10,0,7,9,0,0.41090244879469073,40.216871344188284,1
tech,Developer_A,Wednesday,10,0,5,10,6,0.5,54.940711805555544,1
tech,Developer_A,Wednesday,10,0,5,11,7,0.5714285714285714,62.84807539682539,1
tech,Developer_A,Wednesday,10,0,3,12,8,0.625,82.27324508101852,1
tech,Developer_A,Thursday,10,0,3,13,9,0.6666666666666666,97.38174254115226,1
research,Developer_F,Thursday,10,0,10,14,0,0.41090244879469073,40.216871344188284,1
design,Developer_D,Thursday,10,0,2,15,1,1.0,28.26946759259259,0
design,Developer_D,Thursday,10,0,2,16,2,0.5,14.253096064814814,0
design,Developer_D,Thursday,10,0,5,17,3,0.3333333333333333,9.580902777777778,0
design,Developer_D,Thursday,10,0,4,18,4,0.25,8.293234953703703,0
design,Developer_D,Thursday,10,0,5,19,5,0.2,7.520013888888888,0
design,Developer_D,Thursday,10,0,7,20,6,0.16666666666666666,7.004556327160493,0
design,Developer_D,Thursday,10,0,5,21,7,0.14285714285714285,6.718535052910052,0
tech,Developer_A,Thursday,10,0,6,22,10,0.7,94.73863657407408,0
tech,Developer_A,Thursday,10,0,5,23,11,0.6363636363636364,87.93995265151516,0
tech,Developer_A,Thursday,10,0,14,24,12,0.5833333333333334,82.27434606481482,0
design,Developer_D,Thursday,10,0,3,22,6,0.125,6.503668981481481,0
research,Developer_F,Thursday,10,0,11,23,1,1.0,31.073055555555555,1
design,Developer_D,Tuesday,11,0,4,21,4,0.1111111111111111,6.317983539094651,0
design,Developer_D,Tuesday,11,0,6,22,5,0.1,5.689998842592592,0
operations,Developer_G,Thursday,11,0,6,19,0,0.41090244879469073,40.216871344188284,0
operations,Developer_B,Thursday,11,0,6,20,1,0.0,33.29177083333333,0
operations,Developer_A,Thursday,11,0,6,21,12,0.5384615384615384,77.48012998575499,0
operations,Developer_D,Thursday,11,0,6,22,2,0.09090909090909091,5.372324284511785,0
operations,Developer_C,Thursday,11,0,6,23,1,0.0,37.168692129629626,0
operations,Developer_H,Thursday,11,0,6,24,0,0.41090244879469073,40.216871344188284,0
operations,Developer_F,Thursday,11,0,6,25,2,1.0,27.48724537037037,0
design,Developer_D,Thursday,11,0,6,19,2,0.08333333333333333,4.942473958333333,1
research,Developer_F,Thursday,11,0,4,19,2,0.6666666666666666,18.396060956790123,1
research,Developer_H,Thursday,11,0,8,20,0,0.0,0.2138541666666666,1
research,Unassigned,Thursday,11,0,3,21,0,0.41090244879469073,40.216871344188284,1
product,Developer_C,Thursday,11,0,3,22,1,0.0,18.691359953703703,1
product,Developer_C,Thursday,11,0,2,23,2,0.3333333333333333,41.80180169753086,0
product,Developer_I,Thursday,11,0,2,24,0,0.41090244879469073,40.216871344188284,1
operations,Developer_G,Thursday,11,0,3,25,0,0.0,0.2144791666666666,0
design,Developer_D,Sunday,11,1,4,26,2,0.15384615384615385,6.71934294871795,0
design,Developer_D,Tuesday,11,0,4,27,3,0.14285714285714285,6.832046130952382,0
design,Developer_D,Tuesday,11,0,5,28,4,0.13333333333333333,6.534126543209878,0
tech,Developer_A,Thursday,11,0,4,28,12,0.5,71.96113343253968,1
tech,Developer_A,Thursday,11,0,4,29,13,0.5333333333333333,70.49474228395063,1
research,Developer_F,Sunday,11,1,12,27,3,0.75,20.581504629629627,0
design,Developer_D,Monday,11,0,6,28,2,0.125,6.259370659722221,0
design,Developer_D,Monday,11,0,2,29,3,0.11764705882352941,5.89136982570806,0
research,Developer_F,Tuesday,11,0,12,28,4,0.6,17.851687499999997,1
research,Developer_F,Tuesday,11,0,9,29,5,0.6666666666666666,18.750461033950614,0
research,Developer_G,Tuesday,11,0,3,30,0,0.0,3.5405497685185185,1
product,Developer_I,Tuesday,11,0,2,31,1,1.0,88.0197337962963,1
product,Developer_C,Tuesday,11,0,4,32,3,0.25,39.66764467592593,0
product,Developer_C,Tuesday,11,0,4,33,4,0.2,34.712324074074075,1
product,Developer_C,Wednesday,11,0,2,34,5,0.3333333333333333,41.58680555555556,0
product,Developer_C,Wednesday,12,0,2,23,5,0.2857142857142857,37.65384755291006,0
research,Developer_D,Wednesday,12,0,13,22,2,0.1111111111111111,6.505955504115225,0
research,Developer_C,Wednesday,12,0,13,22,4,0.25,33.736526331018524,0
research,Developer_I,Wednesday,12,0,13,23,2,1.0,81.99021412037037,0
research,Developer_A,Wednesday,12,0,4,22,9,0.5625,69.21162109375001,0
research,Developer_B,Wednesday,12,0,5,21,0,0.0,16.753067129629628,0
